[INFO] [1739202237.557483770] [seekcamera_node]: Seek Camera Manager created and callback registered.
[cameraManagerEventCallback] PRE_AGC (16-bit) streaming started.
[INFO] [1739202248.741256019] [combined_odometry_publisher]: timestamp: 1739202248647331, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071692531541934, roll: -0.0236830874426283, yaw: 2.109396962073172
[INFO] [1739202248.791229188] [combined_odometry_publisher]: timestamp: 1739202248647331, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071134851638516, roll: -0.02367395211872307, yaw: 2.1093776041989605
[INFO] [1739202248.841275701] [combined_odometry_publisher]: timestamp: 1739202248769338, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070761371467233, roll: -0.023661765200901515, yaw: 2.109371289686926
[INFO] [1739202248.891264372] [combined_odometry_publisher]: timestamp: 1739202248769338, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070435527562874, roll: -0.02356389342106684, yaw: 2.1093812527103433
[INFO] [1739202248.941306791] [combined_odometry_publisher]: timestamp: 1739202248769338, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071509450882788, roll: -0.023609295484498683, yaw: 2.1093825974055123
[INFO] [1739202248.991275646] [combined_odometry_publisher]: timestamp: 1739202248911332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071436128958462, roll: -0.023702276998333445, yaw: 2.1092684875217147
[INFO] [1739202249.041317819] [combined_odometry_publisher]: timestamp: 1739202248911332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071011652562867, roll: -0.02373888745435393, yaw: 2.109241878175058
[INFO] [1739202249.091259775] [combined_odometry_publisher]: timestamp: 1739202249021332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070992836695272, roll: -0.023705975758629236, yaw: 2.109273419548107
[INFO] [1739202249.141245810] [combined_odometry_publisher]: timestamp: 1739202249021332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070858138908581, roll: -0.023694270826233814, yaw: 2.1093226822434206
[INFO] [1739202249.191246959] [combined_odometry_publisher]: timestamp: 1739202249021332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070047933687613, roll: -0.02372868978345616, yaw: 2.1092548961217634
[INFO] [1739202249.241425222] [combined_odometry_publisher]: timestamp: 1739202249147429, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070743302231405, roll: -0.02378351016437663, yaw: 2.109236414486571
[INFO] [1739202249.291286186] [combined_odometry_publisher]: timestamp: 1739202249147429, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070747259543567, roll: -0.02381152478623834, yaw: 2.1092730785277394
[INFO] [1739202249.341332562] [combined_odometry_publisher]: timestamp: 1739202249272332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070188082848737, roll: -0.023783174948107978, yaw: 2.109258094143253
[INFO] [1739202249.391295484] [combined_odometry_publisher]: timestamp: 1739202249272332, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070577244360408, roll: -0.023839456525500118, yaw: 2.109258191494525
[INFO] [1739202249.441261054] [combined_odometry_publisher]: timestamp: 1739202249397459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070672966590527, roll: -0.023832717790949764, yaw: 2.1092022797203906
[INFO] [1739202249.491298466] [combined_odometry_publisher]: timestamp: 1739202249397459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070392071700739, roll: -0.02385966425690882, yaw: 2.109133702351847
[INFO] [1739202249.541251034] [combined_odometry_publisher]: timestamp: 1739202249397459, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070469127447772, roll: -0.023798761249420437, yaw: 2.109131767129985
[INFO] [1739202249.591216160] [combined_odometry_publisher]: timestamp: 1739202249522614, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070498695340348, roll: -0.02382468441266919, yaw: 2.109149192826438
[INFO] [1739202249.641305263] [combined_odometry_publisher]: timestamp: 1739202249522614, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070959908921387, roll: -0.023833457090900234, yaw: 2.1090592455629484
[INFO] [1739202249.691586558] [combined_odometry_publisher]: timestamp: 1739202249648460, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071093038630069, roll: -0.02390402703855668, yaw: 2.109071847063373
[INFO] [1739202249.741271222] [combined_odometry_publisher]: timestamp: 1739202249648460, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.807181662605623, roll: -0.023889401861091154, yaw: 2.1090955003946967
[INFO] [1739202249.791247164] [combined_odometry_publisher]: timestamp: 1739202249648460, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071525653380658, roll: -0.023889552000182335, yaw: 2.1091335437948078
[INFO] [1739202249.841303449] [combined_odometry_publisher]: timestamp: 1739202249772458, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8070987311400377, roll: -0.02384777410666069, yaw: 2.1091051597787365
[INFO] [1739202249.891263666] [combined_odometry_publisher]: timestamp: 1739202249772458, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071821628660887, roll: -0.023876991818315055, yaw: 2.109068579691877
[INFO] [1739202249.941304116] [combined_odometry_publisher]: timestamp: 1739202249772458, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072071758684561, roll: -0.02387392784503478, yaw: 2.1090053060215967
[INFO] [1739202249.991263111] [combined_odometry_publisher]: timestamp: 1739202249907462, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8072111032794316, roll: -0.02379243092381536, yaw: 2.109135651517719
[INFO] [1739202250.041248715] [combined_odometry_publisher]: timestamp: 1739202249907462, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071543797189591, roll: -0.0236270207843807, yaw: 2.1093764105970125
[INFO] [1739202250.091236504] [combined_odometry_publisher]: timestamp: 1739202250021481, latitude: 0.0, longitude: 0.0, altitude: -17.0, pitch: 0.8071504373601996, roll: -0.023612843880257035, yaw: 2.109430212307372
